ID;UPCEAN;Name;CategoryID;BrandID
1122289;628037125109;Sandoz cyclosporine 25mg caps 30's;210391;2952709
1122290;628037125208;Sandoz cyclosporine 50mg caps 30's;210391;2952709
1122291;057513022609;Sandoz demo-cineol Adult supp 10's;210391;2952709
1122292;057513022708;Sandoz demo-cineol child supp 10's;210391;2952709
1122293;057513022807;Sandoz demo-cineol infant supp 10's;210391;2952709
1122294;057513023101;Sandoz dexamethasone 0.1% Eye/ear so 5ml;210391;2952709
1122295;057513022913;Sandoz dexamethasone sod phos 10mg/m 10x 1ml;210391;2952709
1122296;057513023019;Sandoz dexamethasone sod phos 4mg/m 10x 5ml;210391;2952709
1122297;057513023026;Sandoz dexamethasone sod phos 4mg/m 1x 5ml;210391;2952709
1122298;057513112805;Sandoz diclofenac 100mg supp 30's;210391;2952709
1122299;057513112706;Sandoz diclofenac 50mg supp 30's;210391;2952709
1122300;057513114304;Sandoz diclofenac ec 25mg tabs 100's;210391;2952709
1122301;057513114403;Sandoz diclofenac ec 50mg tabs 100's;210391;2952709
1122302;057513114700;Sandoz diclofenac rapide 50mg tabs 100's;210391;2952709
1122303;057513114601;Sandoz diclofenac sr 100mg tabs 100's;210391;2952709
1122304;057513114502;Sandoz diclofenac sr 75mg tabs 100's;210391;2952709
1122305;057513023316;Sandoz dicyclomine 10mg caps 500's;210391;2952709
1122306;057513023606;Sandoz digoxin csd 0.05mg/ml ped inj 3x 1ml;210391;2952709
1122307;057513023804;Sandoz dihydroergotamine 1mg/ml inj 3x 1ml;210391;2952709
1122308;628037100113;Sandoz diltiazem CD 120mg caps 100's;210391;2952709
1122309;628037100151;Sandoz diltiazem CD 120mg caps 500's;210391;2952709
1122310;628037100212;Sandoz diltiazem CD 180mg caps 100's;210391;2952709
1122311;628037100250;Sandoz diltiazem CD 180mg caps 500's;210391;2952709
1122312;628037100311;Sandoz diltiazem CD 240mg caps 100's;210391;2952709
1122313;628037100359;Sandoz diltiazem CD 240mg caps 500's;210391;2952709
1122314;628037100410;Sandoz diltiazem CD 300mg caps 100's;210391;2952709
1122315;057513021312;Sandoz diltiazem inj 5mg/ml 5x 10ml;210391;2952709
1122316;628037136402;Sandoz diltiazem t 120mg caps 100's;210391;2952709
1122317;628037136600;Sandoz diltiazem t 180mg caps 100's;210391;2952709
1122318;628037136808;Sandoz diltiazem t 240mg caps 100's;210391;2952709
1122319;628037136907;Sandoz diltiazem t 240mg caps 500's;210391;2952709
1122320;628037137003;Sandoz diltiazem t 300mg caps 100's;210391;2952709
1122321;628037137201;Sandoz diltiazem t 360mg caps 100's;210391;2952709
1122322;628037137300;Sandoz diltiazem t 360mg caps 500's;210391;2952709
1122324;057513058639;Sandoz dimenhydrinate 100mg supp 10's;210391;2952709
1122323;057513058622;Sandoz dimenhydrinate 100mg supp 100's;210391;2952709
1122325;057513058318;Sandoz dimenhydrinate 10mg/ml iv in 10x 5ml;210391;2952709
